Variables,Description
ADJ,Adjective counts per 100 words
ADP,Preposition counts per 100 words
ADV,Adverb counts per 100 words
AoA_all,Mean age of acquisition of all words
AoA_content,Mean age of acquisition of all content words
AoA_noun,Mean age of acquisition of all nouns
CC,Conjunction counts per 100 words
CCONJ,Conjunction counts per 100 words
CD,Conjunction counts per 100 words
DET,Determiner per 100 words
DT,Determiner per 100 words
EX,Existential 'there' count per 100 words
FW,Foreign words per 100 words
IN,Subordinate conjunctions per 100 words
INTJ,Interjections per 100 words
JJ,Adjective counts per 100 words
JJR,Comparative adjectives per 100 words
MD,Modal auxiliary verbs per 100 words
NN,singular noun counts per 100 words
NNP,Proper singular nouns per 100 words
NNS,Plural nouns per 100 words
NOUN,Nouns per 100 words
NUM,Numbers per 100 words
PART,Particles per 100 words
PDT,Predeterminers per 100 words
POS,Possessive counts per 100 words
PRON,Pronouns per 100 words
PROPN,Proper nouns per 100 words
PRP,Personal pronouns per 100 words
PRP$,Possessive pronouns per 100 words
RB,Adverb counts per 100 words
RBR,Comparative adverbs per 100 words
RBS,Superlative adverbs per 100 words
RP,Particle adverbs per 100 words
TO,Infinitival 'to' per 100 words
UH,Interjections per 100 words
VB,Base form verbs per 100 words
VBD,Past tense verbs per 100 words
VBG,Gerund or present participle verbs per 100 words
VBN,Past participle verbs per 100 words
VBP,non-3rd person present tense verb per 100 words
VBZ,3rd person singular present tense verb per 100 words
VERB,Verbs per 100 words
WDT,wh-determiners per 100 words
WP,wh-pronoun per 100 words
WRB,wh-adverbs per 100 words
X,unknown per 100 words
XX,unknown per 100 words
ambiguity_all,Mean ambiguity score of all words
ambiguity_content,Mean ambiguity score of all content words
ambiguity_noun,Mean ambiguity score of all nouns
concreteness_all,Mean concreteness of all words
concreteness_content,Mean concreteness of all content words
concreteness_noun,Mean concreteness of all nouns
eh,eh' counts per 100 words
familiarity_all,Mean familiarity score of all words
familiarity_content,Mean familiarity score of all content words
familiarity_noun,Mean familiarity score of all nouns
frequency_all,Mean word frequency of all words
frequency_content,Mean word frequency of all content words
frequency_noun,Mean word frequency of all nouns
hm,hm' count per 100 words
partial,Partial word counts per 100 words
phone_all,Mean word length in number of phonemes of all words
phone_content,Mean word length in number of phonemes of all content words
phone_noun,Mean word length in number of phonemes of all nouns
repetition,Repetition counts per 100 words
syll_all,Mean word length in number of syllables of all words
syll_content,Mean word length in number of syllables of all content words
syll_noun,Mean word length in number ofsyllables of all nouns
total_syll,Total number of syllables
total_words,Total number of words
total_words_plus_others,"Total number of words + fillers, repetitions, partial words"
uh,Number of 'uh' per 100 words
um,Number of 'um' per 100 words
uniqueAll,Number of unique words per 100 words
uniqueContent,Number of unique content words per 100 words
uniqueNoun,Number of unique nouns per 100 words
yeah,Number of 'yeah' per 100 words
filename,
